,head,relation,tail
0,00001740,_also_see,00004227
1,00001740,_also_see,00005041
2,00001740,_derivationally_related_form,04080833
3,00001740,_derivationally_related_form,05200169
4,00001740,_derivationally_related_form,05616246
5,00001740,_verb_group,00002325
6,00001740,_verb_group,00002573
7,00001930,_hypernym,00001740
8,00002137,_derivationally_related_form,00692329
9,00002137,_hypernym,00001740
10,00002325,_derivationally_related_form,00831191
11,00002325,_derivationally_related_form,03110322
12,00002325,_hypernym,02108377
13,00002452,_hypernym,00001930
14,00002573,_derivationally_related_form,03110322
15,00002573,_hypernym,00001740
16,00002573,_verb_group,00001740
17,00002684,_derivationally_related_form,00532607
18,00002684,_hypernym,00001930
19,00003316,_derivationally_related_form,00836788
20,00003316,_hypernym,00005041
21,00003356,_similar_to,00003553
22,00003553,_derivationally_related_form,00367685
23,00003553,_derivationally_related_form,00368109
24,00003553,_derivationally_related_form,02625016
25,00003553,_has_part,03892891
26,00003553,_has_part,04164989
27,00003553,_hypernym,00002684
28,00003553,_similar_to,00003356
29,00004227,_hypernym,00001740
30,00004258,_hypernym,00003553
31,00004475,_has_part,00006484
32,00004475,_has_part,05220461
33,00004605,_derivationally_related_form,14842091
34,00004605,_derivationally_related_form,15109745
35,00004605,_hypernym,00105333
36,00005041,_derivationally_related_form,04080833
37,00006484,_derivationally_related_form,00327031
38,00006484,_derivationally_related_form,02685299
39,00006484,_has_part,05432948
40,00006484,_has_part,05434927
41,00006484,_has_part,05445668
42,00006484,_hypernym,00004258
43,00006484,_synset_domain_topic_of,06037666
44,00007347,_derivationally_related_form,01645601
45,00007347,_hypernym,00001930
46,00007846,_derivationally_related_form,00388065
47,00007846,_derivationally_related_form,00727573
48,00007846,_derivationally_related_form,01557614
49,00007846,_derivationally_related_form,04618781
50,00007846,_has_part,04617562
51,00007846,_hypernym,00007347
52,00011757,_derivationally_related_form,05854150
53,00013160,_also_see,01932973
54,00013328,_derivationally_related_form,00041188
55,00013328,_derivationally_related_form,03964744
56,00014549,_derivationally_related_form,00165942
57,00014549,_derivationally_related_form,10484526
58,00015388,_derivationally_related_form,01617192
59,00015388,_derivationally_related_form,01680756
60,00015388,_has_part,05538625
61,00015388,_has_part,05601198
62,00015388,_hypernym,00004475
63,00019128,_hypernym,00003553
64,00019613,_hypernym,00020827
65,00019792,_derivationally_related_form,09821253
66,00020827,_hypernym,00001930
67,00021939,_hypernym,00003553
68,00022686,_derivationally_related_form,01046984
69,00022686,_derivationally_related_form,02888133
