head,tail,relation
38,124225,bought_together
38,191129,bought_together
436,31887,bought_together
436,2192832,bought_together
677,125768,bought_together
677,130894,bought_together
677,966213,bought_together
830,135237,bought_together
830,44817,bought_together
830,74955,bought_together
830,1788068,bought_together
830,1175434,bought_together
865,140410,bought_together
865,1139541,bought_together
865,121836,bought_together
865,757673,bought_together
1219,168961,bought_together
1219,199263,bought_together
1219,37484,bought_together
1327,2441452,bought_together
1327,442234,bought_together
1327,311087,bought_together
1327,86726,bought_together
1476,136659,bought_together
1476,1080048,bought_together
1476,50284,bought_together
1476,145164,bought_together
1624,186748,bought_together
1624,852171,bought_together
1624,1070691,bought_together
1683,67428,bought_together
3236,73896,bought_together
3642,1686497,bought_together
3642,2194032,bought_together
4087,2062766,bought_together
4122,61165,bought_together
4122,1134767,bought_together
4122,1713161,bought_together
4122,1144903,bought_together
4256,144567,bought_together
4256,124225,bought_together
4686,33836,bought_together
4686,76784,bought_together
4686,418745,bought_together
4686,1936607,bought_together
4686,310544,bought_together
4836,36976,bought_together
5086,1763044,bought_together
5116,121831,bought_together
5116,2121209,bought_together
5339,736158,bought_together
5800,1388231,bought_together
6245,178900,bought_together
6245,36704,bought_together
6245,180367,bought_together
6245,1950607,bought_together
6245,2255493,bought_together
6298,34142,bought_together
6298,109049,bought_together
6298,125352,bought_together
6298,55139,bought_together
6363,193221,bought_together
6363,2435143,bought_together
6363,1719110,bought_together
6363,1940625,bought_together
6717,1266373,bought_together
569,6717,bought_together
6717,1563724,bought_together
6896,231617,bought_together
7100,206490,bought_together
7100,125045,bought_together
7200,22631,bought_together
7454,43852,bought_together
8059,33836,bought_together
8059,76784,bought_together
8576,29582,bought_together
8576,71184,bought_together
9126,110904,bought_together
9126,2359271,bought_together
9126,1805257,bought_together
9126,113886,bought_together
9505,91344,bought_together
9505,927339,bought_together
9745,774658,bought_together
9745,2147010,bought_together
10254,1827144,bought_together
10457,37149,bought_together
10457,149098,bought_together
10506,90970,bought_together
10530,97032,bought_together
11510,29582,bought_together
12008,621013,bought_together
12008,149098,bought_together
12008,423423,bought_together
12047,940957,bought_together
12047,1279488,bought_together
12047,856940,bought_together
12201,135554,bought_together
12201,1506683,bought_together
12377,34997,bought_together
12423,2045257,bought_together
12868,1584008,bought_together
12868,1792345,bought_together
12868,692710,bought_together
13161,45365,bought_together
13161,56028,bought_together
13699,28692,bought_together
13699,813703,bought_together
13699,2060692,bought_together
14179,79677,bought_together
14182,142973,bought_together
14182,150439,bought_together
14714,76671,bought_together
14714,2400571,bought_together
14765,68450,bought_together
14765,2408806,bought_together
15183,58962,bought_together
15502,103893,bought_together
15502,113716,bought_together
15508,23325,bought_together
15508,2157567,bought_together
15508,58809,bought_together
15690,41006,bought_together
16148,63203,bought_together
16148,2260226,bought_together
16148,1934572,bought_together
16908,1281635,bought_together
16908,65009,bought_together
16908,122835,bought_together
16908,41042,bought_together
16908,81191,bought_together
17147,2013613,bought_together
17147,1197434,bought_together
17147,245182,bought_together
17147,933959,bought_together
17147,57934,bought_together
17147,847748,bought_together
17288,81913,bought_together
17316,1722253,bought_together
17316,1404459,bought_together
