mirna;mrna
hsa-miR-155-5p;HTRA1
hsa-miR-26b-5p;HTRA1
hsa-miR-16-5p;HTRA1
hsa-miR-6774-5p;HTRA1
hsa-miR-635;HTRA1
hsa-miR-186-3p;HTRA1
hsa-miR-146a-5p;CFH
hsa-miR-155-3p;CFH
hsa-miR-200c-3p;FBLN5
hsa-miR-335-5p;FBLN5
hsa-miR-26b-5p;FBLN5
hsa-miR-3190-3p;FBLN5
hsa-miR-6077;FBLN5
hsa-miR-542-3p;FBLN5
hsa-miR-7-5p;FBLN5
hsa-miR-7854-3p;FBLN5
hsa-miR-6770-5p;FBLN5
hsa-miR-3185;FBLN5
hsa-miR-2277-3p;FBLN5
hsa-miR-3681-3p;FBLN5
hsa-miR-216a-3p;FBLN5
hsa-miR-128-3p;FBLN5
hsa-miR-4433b-3p;FBLN5
hsa-miR-3120-3p;FBLN5
hsa-miR-373-3p;VEGFA
hsa-miR-302d-3p;VEGFA
hsa-miR-34b-5p;VEGFA
hsa-miR-126-3p;VEGFA
hsa-miR-147a;VEGFA
hsa-miR-134-5p;VEGFA
hsa-miR-140-5p;VEGFA
hsa-miR-29b-3p;VEGFA
hsa-miR-107;VEGFA
hsa-miR-16-5p;VEGFA
hsa-miR-93-5p;VEGFA
hsa-miR-17-5p;VEGFA
hsa-miR-150-5p;VEGFA
hsa-miR-195-5p;VEGFA
hsa-miR-15b-5p;VEGFA
hsa-miR-15a-5p;VEGFA
hsa-miR-520g-3p;VEGFA
hsa-miR-378a-3p;VEGFA
hsa-miR-330-3p;VEGFA
hsa-miR-383-5p;VEGFA
hsa-miR-125a-5p;VEGFA
hsa-miR-361-5p;VEGFA
hsa-miR-20a-5p;VEGFA
hsa-miR-20b-5p;VEGFA
hsa-miR-504-5p;VEGFA
hsa-miR-520h;VEGFA
hsa-miR-372-3p;VEGFA
hsa-miR-106a-5p;VEGFA
hsa-miR-106b-5p;VEGFA
hsa-miR-34a-5p;VEGFA
hsa-miR-205-5p;VEGFA
hsa-miR-34b-3p;VEGFA
hsa-miR-145-5p;VEGFA
hsa-miR-200b-3p;VEGFA
hsa-miR-200c-3p;VEGFA
hsa-miR-503-5p;VEGFA
hsa-miR-335-5p;VEGFA
hsa-miR-29c-3p;VEGFA
hsa-miR-190a-5p;VEGFA
hsa-miR-9-5p;VEGFA
hsa-miR-133a-3p;VEGFA
hsa-miR-101-3p;VEGFA
hsa-miR-21-5p;VEGFA
hsa-miR-203a-3p;VEGFA
hsa-miR-29a-3p;VEGFA
hsa-miR-424-5p;VEGFA
hsa-miR-497-5p;VEGFA
hsa-miR-598-5p;VEGFA
hsa-miR-374b-3p;VEGFA
hsa-miR-3163;VEGFA
hsa-miR-4524a-5p;VEGFA
hsa-miR-451b;VEGFA
hsa-miR-4524b-5p;VEGFA
hsa-miR-6838-5p;VEGFA
hsa-miR-568;VEGFA
hsa-miR-1277-5p;VEGFA
hsa-miR-423-3p;VEGFA
hsa-miR-141-5p;VEGFA
hsa-miR-299-3p;VEGFA
hsa-miR-297;VEGFA
hsa-miR-718;VEGFA
hsa-miR-3924;VEGFA
hsa-miR-6748-5p;VEGFA
hsa-miR-6756-5p;VEGFA
hsa-miR-6759-5p;VEGFA
hsa-miR-6766-5p;VEGFA
hsa-miR-6769a-5p;VEGFA
hsa-miR-6769b-5p;VEGFA
