source,target
38,124225
38,191129
436,31887
436,2192832
677,125768
677,130894
677,966213
830,135237
830,44817
830,74955
830,1788068
830,1175434
865,140410
865,1139541
865,121836
865,757673
1219,168961
1219,199263
1219,37484
1327,2441452
1327,442234
1327,311087
1327,86726
1476,136659
1476,1080048
1476,50284
1476,145164
1624,186748
1624,852171
1624,1070691
1683,67428
3236,73896
3642,1686497
3642,2194032
4087,2062766
4122,61165
4122,1134767
4122,1713161
4122,1144903
4256,144567
4256,124225
4686,33836
4686,76784
4686,418745
4686,1936607
4686,310544
4836,36976
5086,1763044
5116,121831
5116,2121209
5339,736158
5800,1388231
6245,178900
6245,36704
6245,180367
6245,1950607
6245,2255493
6298,34142
6298,109049
6298,125352
6298,55139
6363,193221
6363,2435143
6363,1719110
6363,1940625
6717,1266373
569,6717
6717,1563724
6896,231617
7100,206490
7100,125045
7200,22631
7454,43852
8059,33836
8059,76784
8576,29582
8576,71184
9126,110904
9126,2359271
9126,1805257
9126,113886
9505,91344
9505,927339
9745,774658
9745,2147010
10254,1827144
10457,37149
10457,149098
10506,90970
10530,97032
11510,29582
12008,621013
12008,149098
12008,423423
12047,940957
12047,1279488
12047,856940
12201,135554
12201,1506683
12377,34997
12423,2045257
12868,1584008
12868,1792345
12868,692710
13161,45365
13161,56028
13699,28692
13699,813703
13699,2060692
14179,79677
14182,142973
14182,150439
14714,76671
14714,2400571
14765,68450
14765,2408806
15183,58962
15502,103893
15502,113716
15508,23325
15508,2157567
15508,58809
15690,41006
16148,63203
16148,2260226
16148,1934572
16908,1281635
16908,65009
16908,122835
16908,41042
16908,81191
17147,2013613
17147,1197434
17147,245182
17147,933959
17147,57934
17147,847748
17288,81913
17316,1722253
17316,1404459
17316,412546
17959,2408806
17959,68450
18427,1916630
18427,191027
18427,472571
18514,225104
18514,1672794
18514,1516965
18748,69158
18748,57643
18748,2046219
19055,101321
19188,116162
19188,42405
20014,1785374
20439,2201383
21454,1254365
21454,1176747
21454,2188425
21454,1894491
21454,692607
21454,399552
21454,877691
21454,1786682
21454,260047
21454,1787873
21727,194597
21791,160363
21791,65009
16908,21791
21791,122835
21791,41042
22214,1107478
22272,91854
22272,142295
22272,187581
22345,2168039
22410,373756
22410,114686
22420,175598
22420,167696
22420,2141109
22420,2294463
22481,1893069
22631,1774872
22780,402911
22780,564861
22780,2055501
23269,99372
23325,66734
23325,2369920
23515,857491
23515,1348158
23515,2083477
23726,149872
23726,1195971
23842,153510
23842,1921073
23842,253659
24292,1830590
24292,42371
24292,2437196
24314,176129
24314,993621
24314,185235
24314,592980
24314,1761174
24320,1729983
24320,2116777
24320,1382978
24822,1916630
24822,775664
24822,60746
24822,1271097
25479,807490
25858,2226570
25858,1113116
25858,81387
26997,72345
26997,223858
26997,124225
27073,1500833
27073,2309109
27472,138075
27472,1519527
27556,102298
27556,147846
27556,191129
27556,124225
27556,62612
27723,43582
27723,301092
28692,813703
28692,2367025
28692,2060692
28909,369173
29141,90564
29582,71184
29770,67428
29809,174753
29809,188054
29809,194600
29809,97838
29854,110067
29999,102085
29999,173678
29999,103613
29999,34423
29999,1908809
30339,124225
30452,120187
30452,2404177
30753,34142
4836,30753
30979,1114224
30979,775664
24822,30979
31794,1692863
31794,242026
31887,2192832
31887,204795
32163,43365
32163,52578
32184,77999
32184,154215
32251,150376
32366,1830699
32366,2303409
32402,165480
32402,175073
32402,93754
32546,1048622
32845,139721
32845,33695
33093,117613
33093,195325
33142,1262240
33691,122509
33695,139721
33836,418745
34105,64231
34142,109049
34142,55139
34142,125352
34243,604542
34243,1582897
34423,103613
34423,102085
34423,173678
34863,61654
34982,211731
34982,2336784
35418,153510
35547,410128
35547,1201281
35656,2051333
35656,172683
35656,1301431
35870,2215915
35870,166821
35902,127459
35902,1084142
35902,120372
36425,912805
36425,382592
36425,1869172
36704,178900
36704,2141388
36704,1950607
36704,180367
36738,1654563
36771,2379908
36976,74018
36976,77625
36976,153056
37484,199263
37484,168961
38025,150376
38131,194600
38312,401362
38312,208800
38312,758231
38648,1616659
39004,173668
39004,90564
39004,50936
39004,42618
39004,140925
39034,1848255
39034,133403
39149,191129
39149,135289
39155,67428
39155,146331
39611,2101447
39611,2143444
39611,179220
39611,2411046
39611,2379957
40161,99323
40161,819476
40343,186747
40343,425029
40343,1382978
40355,170316
40355,2347360
40355,97969
40513,157832
40513,124249
40662,137051
40694,1735097
40735,205167
40735,154307
41006,1725410
41006,105640
41042,176310
41042,160363
41572,189575
41572,80092
41572,149548
41572,52319
41572,146983
41572,103043
41675,171922
41879,142275
41879,640052
42121,102701
42121,460754
42121,1492000
42121,935851
42249,187243
42249,2112687
42371,1830590
42371,2437196
42405,116162
42673,230663
42673,59478
33836,42877
42877,418745
42877,80402
42877,2440082
43365,52578
43365,1805431
43444,205123
43444,238313
43636,1743679
43827,89017
43827,61339
43852,1003572
43979,221344
43979,2366144
43979,720982
44305,124225
44305,179332
44345,87950
44345,1310541
44345,69896
44345,832527
44522,137687
44522,1461056
44522,186740
44534,880778
44534,1929501
44583,648413
44583,53392
44583,1618430
44583,497404
44583,45668
44817,135237
45384,66734
45384,149718
45384,209534
45384,126950
23325,45384
45435,175907
45435,150439
45588,1640387
45588,1057616
45668,274302
45668,1009439
45668,53392
45882,64613
45882,2011963
45882,321368
45882,128174
45882,1528556
45887,191129
4256,45887
46253,1193831
46253,1609785
46270,178051
46270,126115
46270,123339
46270,161999
46719,190332
46719,1789929
46719,1335122
46921,285763
47560,80402
33691,47638
47792,99323
48321,987811
48321,2268554
48921,1294732
49275,137946
50161,55679
50248,981389
50284,1080048
50284,145164
50305,55149
50305,68591
50305,127459
50305,1084142
50596,105002
50596,224101
51580,67373
51580,92589
51580,176310
51823,612021
51823,74018
51823,153056
